+-----------------------------------------------------------------+-----------------------------------------------------------------+------------+-----------------------+
|                                x                                |                                y                                | iterations |          time         |
+-----------------------------------------------------------------+-----------------------------------------------------------------+------------+-----------------------+
|                                1                                |                                1                                |     0      |          0.0          |
|                                1                                |                                2                                |     1      |          0.0          |
|                                2                                |                                3                                |     2      |          0.0          |
|                                3                                |                                5                                |     3      |          0.0          |
|                                5                                |                                8                                |     4      |          0.0          |
|                                8                                |                                13                               |     5      |          0.0          |
|                                13                               |                                21                               |     6      |          0.0          |
|                                21                               |                                34                               |     7      |          0.0          |
|                                34                               |                                55                               |     8      |          0.0          |
|                                55                               |                                89                               |     9      |          0.0          |
|                                89                               |                               144                               |     10     |          0.0          |
|                               144                               |                               233                               |     11     |          0.0          |
|                               233                               |                               377                               |     12     |          0.0          |
|                               377                               |                               610                               |     13     |          0.0          |
|                               610                               |                               987                               |     14     |          0.0          |
|                               987                               |                               1597                              |     15     |          0.0          |
|                               1597                              |                               2584                              |     16     |          0.0          |
|                               2584                              |                               4181                              |     17     |          0.0          |
|                               4181                              |                               6765                              |     18     |          0.0          |
|                               6765                              |                              10946                              |     19     |          0.0          |
|                              10946                              |                              17711                              |     20     |          0.0          |
|                              17711                              |                              28657                              |     21     |          0.0          |
|                              28657                              |                              46368                              |     22     |          0.0          |
|                              46368                              |                              75025                              |     23     |          0.0          |
|                              75025                              |                              121393                             |     24     |          0.0          |
|                              121393                             |                              196418                             |     25     |          0.0          |
|                              196418                             |                              317811                             |     26     |          0.0          |
|                              317811                             |                              514229                             |     27     |          0.0          |
|                              514229                             |                              832040                             |     28     |          0.0          |
|                              832040                             |                             1346269                             |     29     |          0.0          |
|                             1346269                             |                             2178309                             |     30     |          0.0          |
|                             2178309                             |                             3524578                             |     31     |          0.0          |
|                             3524578                             |                             5702887                             |     32     |          0.0          |
|                             5702887                             |                             9227465                             |     33     |          0.0          |
|                             9227465                             |                             14930352                            |     34     |          0.0          |
|                             14930352                            |                             24157817                            |     35     |          0.0          |
|                             24157817                            |                             39088169                            |     36     |          0.0          |
|                             39088169                            |                             63245986                            |     37     |          0.0          |
|                             63245986                            |                            102334155                            |     38     |          0.0          |
|                            102334155                            |                            165580141                            |     39     |          0.0          |
|                            165580141                            |                            267914296                            |     40     |          0.0          |
|                            267914296                            |                            433494437                            |     41     |          0.0          |
|                            433494437                            |                            701408733                            |     42     |          0.0          |
|                            701408733                            |                            1134903170                           |     43     |          0.0          |
|                            1134903170                           |                            1836311903                           |     44     |          0.0          |
|                            1836311903                           |                            2971215073                           |     45     |          0.0          |
|                            2971215073                           |                            4807526976                           |     46     |          0.0          |
|                            4807526976                           |                            7778742049                           |     47     |          0.0          |
|                            7778742049                           |                           12586269025                           |     48     |          0.0          |
|                           12586269025                           |                           20365011074                           |     49     |          0.0          |
|                           20365011074                           |                           32951280099                           |     50     |          0.0          |
|                           32951280099                           |                           53316291173                           |     51     |          0.0          |
|                           53316291173                           |                           86267571272                           |     52     |          0.0          |
|                           86267571272                           |                           139583862445                          |     53     |          0.0          |
|                           139583862445                          |                           225851433717                          |     54     |          0.0          |
|                           225851433717                          |                           365435296162                          |     55     |          0.0          |
|                           365435296162                          |                           591286729879                          |     56     |          0.0          |
|                           591286729879                          |                           956722026041                          |     57     |          0.0          |
|                           956722026041                          |                          1548008755920                          |     58     |          0.0          |
|                          1548008755920                          |                          2504730781961                          |     59     |          0.0          |
|                          2504730781961                          |                          4052739537881                          |     60     |          0.0          |
|                          4052739537881                          |                          6557470319842                          |     61     |          0.0          |
|                          6557470319842                          |                          10610209857723                         |     62     |          0.0          |
|                          10610209857723                         |                          17167680177565                         |     63     |          0.0          |
|                          17167680177565                         |                          27777890035288                         |     64     |          0.0          |
|                          27777890035288                         |                          44945570212853                         |     65     |          0.0          |
|                          44945570212853                         |                          72723460248141                         |     66     |          0.0          |
|                          72723460248141                         |                         117669030460994                         |     67     |          0.0          |
|                         117669030460994                         |                         190392490709135                         |     68     |          0.0          |
|                         190392490709135                         |                         308061521170129                         |     69     |          0.0          |
|                         308061521170129                         |                         498454011879264                         |     70     |          0.0          |
|                         498454011879264                         |                         806515533049393                         |     71     |          0.0          |
|                         806515533049393                         |                         1304969544928657                        |     72     |          0.0          |
|                         1304969544928657                        |                         2111485077978050                        |     73     |          0.0          |
|                         2111485077978050                        |                         3416454622906707                        |     74     |          0.0          |
|                         3416454622906707                        |                         5527939700884757                        |     75     |          0.0          |
|                         5527939700884757                        |                         8944394323791464                        |     76     | 0.0009965896606445312 |
|                         8944394323791464                        |                        14472334024676221                        |     77     |          0.0          |
